sampleCode,date,meanIceDepth,iceAge,meanAirAge,ppm
DE08 205,20-Aug-92,83.1,1939,1969,323.2
DE08 235,12-Aug-93,83.98,1938,1968,323.7
DE08 225,02-Aug-93,89.15,1935,1965,319.5
DE08 226,02-Aug-93,89,1935,1965,318.8
DE08 203,05-Aug-92,91.95,1933,1963,318.2
DE08 212,14-Jul-93,93,1932,1962,318.7
DE08 213,14-Jul-93,93.15,1932,1962,317
DE08 214,15-Jul-93,92.68,1932,1962,319.4
DE08 215,15-Jul-93,92.84,1932,1962,317
DE08 201,27-Jul-92,104.44,1923,1953,311.9
DE08 208,13-Nov-92,104.61,1923,1953,311
DE08 236,12-Aug-93,104.29,1923,1953,312.7
DE08 227,02-Aug-93,115.66,1914,1944,309.7
DE08 243,08-Oct-93,121.8,1909,1939,311
DE08 240,19-Aug-93,121.9,1908,1938,310.5
DE08 238,13-Aug-93,130.27,1902,1932,307.8
DE08 231,10-Aug-93,138.79,1894,1924,304.8
DE08 237,13-Aug-93,138.79,1894,1924,304.1
DE08 233,11-Aug-93,149.86,1885,1915,301.3
DE08 239,17-Aug-93,153,1882,1912,300.7
DE08 253,19-Jul-95,160.7,1875,1905,296.9
DE08 254,03-Aug-95,160.9,1875,1905,298.5
DE08 230,10-Aug-93,167.86,1868,1898,294.7
DE08 241,19-Aug-93,174.39,1862,1892,294.6
DE08 252,19-Jul-95,179.5,1856,1886,293.7
DE08 229,10-Aug-93,184.31,1852,1882,291.9
DE08 255,03-Aug-95,190.3,1847,1877,288.8
DE08 228,06-Aug-93,197.54,1839,1869,287.4
DE08 232,11-Aug-93,206.09,1831,1861,286.6
DE08 234,12-Aug-93,214.1,1824,1854,284.9
DE08 200,26-Jun-92,218.02,1820,1850,285.2
DE08 222,29-Jul-93,228.74,1810,1840,283
