Time (yr BP),Antarctic temperature,Antarctic temperature uncertainty
1000,0.108438583,1.522774531
2000,0.209664906,1.525580227
3000,-0.090596166,1.516606032
4000,0.188082965,1.536744532
5000,0.225929875,1.530407444
6000,0.442542433,1.515514054
7000,-0.023177006,1.518275702
8000,-0.218377669,1.534239953
9000,0.283094296,1.522520396
10000,0.748918738,1.517731578
11000,0.670944056,1.51082417
12000,-0.423260677,1.647632899
13000,-2.758733581,1.513320725
14000,-2.727396534,1.528539415
15000,-2.86560392,1.53779303
16000,-4.187653654,1.55880109
17000,-6.60202571,1.542304131
18000,-8.096608908,1.525064425
19000,-8.519792246,1.520575415
20000,-8.701393395,1.508558434
21000,-9.018495166,1.51347204
22000,-8.951043702,1.509566481
23000,-8.759213631,1.518671405
24000,-8.803772298,1.539900383
25000,-9.161054467,1.511329332
26000,-9.21573826,1.5088106
27000,-9.197409953,1.532968777
28000,-8.347750528,1.534131618
29000,-7.723216133,1.514154834
30000,-8.442516923,1.560583235
31000,-8.469318755,1.518631119
32000,-7.731205862,1.539464032
33000,-8.148515517,1.597445818
34000,-8.093520033,1.527154641
35000,-7.131169641,1.514937222
36000,-7.542625672,1.515326912
37000,-7.220208928,1.529354583
38000,-5.878377033,1.54011851
39000,-6.096243357,1.559457009
40000,-7.416692682,1.526184042
41000,-7.375232962,1.542829025
42000,-7.569588123,1.531363235
43000,-6.678516723,1.522434138
44000,-7.103892725,1.523578217
45000,-6.588200432,1.553350678
46000,-5.148894763,1.542252283
47000,-5.270246442,1.53847021
48000,-6.356823432,1.560757567
49000,-6.735666273,1.514008941
50000,-6.642732838,1.511133784
51000,-6.317762299,1.512959949
52000,-5.671698103,1.5140939
53000,-5.340574463,1.53682464
54000,-5.513016549,1.522225736
55000,-6.041988168,1.54164178
56000,-6.684246709,1.525056099
57000,-5.695421423,1.551948774
58000,-5.223645547,1.547535319
59000,-4.868694986,1.509858246
60000,-5.54936989,1.530763951
61000,-6.182889959,1.511031864
62000,-6.884220661,1.523588495
63000,-7.692215618,1.517946509
64000,-7.171393043,1.545120621
65000,-7.766647841,1.509873032
66000,-8.105987233,1.512275294
67000,-7.98935875,1.510633114
68000,-8.08457437,1.534376101
69000,-7.724807197,1.538654696
70000,-6.801078004,1.571946504
71000,-5.565386771,1.529399622
72000,-6.065164101,1.562116866
73000,-6.172558963,1.577039632
74000,-4.94129813,1.544998179
75000,-4.79341324,1.54324543
76000,-5.860989374,1.533682374
77000,-5.403831306,1.527134414
78000,-5.191700866,1.514158156
79000,-4.637543076,1.52316215
80000,-3.826642867,1.525621861
81000,-3.426516474,1.514976224
82000,-2.998341565,1.522932204
83000,-2.277329438,1.522059471
84000,-2.715621283,1.528969169
85000,-3.480436299,1.522481126
86000,-4.325662068,1.521455814
87000,-5.391279399,1.577445092
88000,-5.682455336,1.519466703
89000,-5.112984145,1.527335382
90000,-4.865545616,1.509036966
91000,-4.907556513,1.509476321
92000,-4.549435263,1.517154817
93000,-4.133213319,1.514233598
94000,-3.532060027,1.510794696
95000,-3.631808057,1.518641155
96000,-3.847237399,1.5164209
97000,-3.674718915,1.513226349
98000,-3.640047774,1.512402231
99000,-3.629010983,1.507370859
100000,-3.649401213,1.505144145
101000,-3.304447562,1.530110678
102000,-3.256534199,1.549052329
103000,-4.15648761,1.67779443
104000,-4.752794582,1.557321126
105000,-4.300802853,1.52925027
106000,-3.869536709,1.5447577
107000,-4.012076745,1.644030383
108000,-5.444635406,1.758506923
109000,-6.147938508,1.538416844
110000,-5.786516479,1.522321805
111000,-5.560997019,1.507567404
112000,-5.365962688,1.51472203
113000,-4.945276244,1.534095954
114000,-4.322850083,1.567335772
115000,-3.525671062,1.57952046
116000,-2.631542766,1.597404882
117000,-1.640203373,1.621824748
118000,-0.589600358,1.606887747
119000,0.143092593,1.53588701
120000,0.414657074,1.507765001
121000,0.605322517,1.511250729
122000,0.864299475,1.518340912
123000,1.112557727,1.516075301
124000,1.284828615,1.515885421
125000,1.247919359,1.514054368
126000,1.154075669,1.525115735
127000,1.787454173,1.64425139
128000,2.835990855,1.58282951
129000,3.073963424,1.534582509
130000,2.290934029,1.756765503
131000,0.858406675,2.281838828
132000,-0.782265684,2.450315038
133000,-2.527295275,2.458917075
134000,-4.26321178,2.444463898
135000,-5.916836415,2.310242278
136000,-7.245154128,1.988343207
137000,-8.095109018,1.700010988
138000,-8.564387352,1.569605951
139000,-8.75010806,1.528238236
140000,-8.693996942,1.522355382
141000,-8.535458789,1.519063409
142000,-8.37938327,1.517832076
143000,-8.21914671,1.521310514
144000,-8.069675725,1.520485864
145000,-7.991948673,1.515510851
146000,-7.975569656,1.514536347
147000,-7.912544383,1.524632415
148000,-7.725457714,1.538683607
149000,-7.477426236,1.532957623
150000,-7.279913778,1.518258625
151000,-7.196204231,1.512437673
152000,-7.274023033,1.521936028
153000,-7.498851424,1.539160486
154000,-7.812747381,1.559623795
155000,-8.160573034,1.564097622
156000,-8.36646123,1.552965104
157000,-8.211193487,1.62159232
158000,-7.68662101,1.732640779
159000,-7.164898564,1.704357038
160000,-7.054555483,1.627747495
161000,-7.103389186,1.604681253
162000,-7.008284725,1.616314143
163000,-7.106345779,1.641345421
164000,-7.490986128,1.624941469
165000,-7.713516012,1.564443104
166000,-7.538170084,1.597034539
167000,-7.069630629,1.655582877
168000,-6.657596598,1.623643498
169000,-6.647362803,1.597509671
170000,-6.845313827,1.60033242
171000,-6.787244889,1.623831266
172000,-6.570205175,1.619952293
173000,-6.638147853,1.598586991
174000,-6.884795426,1.568658856
175000,-6.977242012,1.57213733
176000,-6.771365929,1.665597384
177000,-6.304984426,1.727848197
178000,-6.11693664,1.730311409
179000,-6.575411821,1.786775025
180000,-7.237105187,1.690376564
181000,-7.637078144,1.558653162
182000,-7.78644509,1.515166232
183000,-7.798609876,1.513115825
184000,-7.681434554,1.540232274
185000,-7.351477607,1.630200732
186000,-6.719301641,1.770025182
187000,-5.928927173,1.795053726
188000,-5.444095704,1.674262931
189000,-5.510140271,1.613467261
190000,-5.777691432,1.603529982
191000,-5.756980217,1.628645582
192000,-5.449720614,1.623613766
193000,-5.234317053,1.575854926
194000,-5.019022872,1.610620892
195000,-4.492590012,1.713231009
196000,-3.72437467,1.761567601
197000,-2.908511789,1.752854567
198000,-2.159797559,1.694411085
199000,-1.647995968,1.596946998
200000,-1.554777298,1.580711771
201000,-1.948510488,1.734639287
202000,-2.774451233,1.909183135
203000,-3.644326624,1.816018868
204000,-4.002805942,1.622963418
205000,-3.816734865,1.583017072
206000,-3.406216988,1.590581915
207000,-2.960140257,1.590677326
208000,-2.508313036,1.59092238
209000,-2.05960149,1.582865501
210000,-1.662292634,1.561116633
211000,-1.352213326,1.541040743
212000,-1.088872306,1.536627666
213000,-0.824143232,1.539440937
214000,-0.607123957,1.547300083
215000,-0.646250049,1.612698908
216000,-1.163112937,1.779455874
217000,-2.066947999,1.884585524
218000,-3.039514577,1.833835136
219000,-3.902776401,1.765273774
220000,-4.720140599,1.768132777
221000,-5.543893893,1.758759324
222000,-6.257345337,1.673256403
223000,-6.714388905,1.583226974
224000,-6.795011085,1.575547716
225000,-6.478100022,1.633103826
226000,-6.119563079,1.629660732
227000,-6.163040229,1.628097796
228000,-6.434990116,1.614198907
229000,-6.472857854,1.591879333
230000,-6.370791874,1.56999232
231000,-6.30902357,1.551584345
232000,-6.08755671,1.58726559
233000,-5.583561468,1.680826423
234000,-4.857583969,1.747157686
235000,-4.074242563,1.731383416
236000,-3.348622648,1.695421754
237000,-2.688770477,1.664508157
238000,-2.093390237,1.652049292
239000,-1.441091375,1.756815541
240000,-0.52257401,1.946447434
241000,0.580568192,1.96971664
242000,1.358424768,1.800685661
243000,1.246679056,1.932301082
244000,0.109858379,2.404763591
245000,-1.66678934,2.628801785
246000,-3.37927183,2.330785493
247000,-4.423849528,1.838289818
248000,-4.895189952,1.645628843
249000,-5.361439397,1.674393549
250000,-5.909957147,1.635586225
251000,-6.29702205,1.558358803
252000,-6.528851399,1.527128791
253000,-6.661068873,1.514520628
254000,-6.731866031,1.513189648
255000,-6.740789217,1.523540391
256000,-6.588139332,1.549695412
257000,-6.307163238,1.562520878
258000,-6.118472801,1.55663305
259000,-6.179055573,1.559091562
260000,-6.363190848,1.549474916
261000,-6.466456515,1.541757298
262000,-6.406990194,1.566452132
263000,-6.178616761,1.595237827
264000,-6.079746026,1.587612132
265000,-6.336345886,1.590996889
266000,-6.760340574,1.582083636
267000,-7.163096182,1.56227521
268000,-7.483339869,1.538007384
269000,-7.728027751,1.524579256
270000,-7.95138299,1.523194326
271000,-8.148205456,1.516883942
272000,-8.251230983,1.506874464
273000,-8.241290678,1.505731288
274000,-8.136919061,1.513862067
275000,-7.980543649,1.519435344
276000,-7.870524629,1.516997777
277000,-7.810925165,1.517327261
278000,-7.712465124,1.52681136
279000,-7.498709655,1.562169709
280000,-7.119231322,1.596934997
281000,-6.667414734,1.600065367
282000,-6.18597332,1.612319758
283000,-5.671707553,1.609941351
284000,-5.196937074,1.587693271
285000,-4.774687484,1.57441432
286000,-4.380514886,1.563200797
287000,-4.030907308,1.545465775
288000,-3.747160626,1.533001029
289000,-3.544328212,1.538571311
290000,-3.557282537,1.585649444
291000,-3.954004559,1.674184582
292000,-4.615829353,1.70870672
293000,-5.26877319,1.662220377
294000,-5.673644415,1.588838716
295000,-5.729789869,1.58443446
296000,-5.711670436,1.635156394
297000,-5.980655667,1.675049249
